episode,timestep,reward
14,2000,-87.1352
22,4000,-122.5862
28,6000,-259.7853
33,8000,-150.2166
50,10000,-91.7062
56,12000,-95.4714
70,14000,-45.1781
80,16000,-68.9625
90,18000,-74.6639
92,20000,-361.9836
98,22000,-29.7215
110,24000,-28.6509
122,26000,-21.954
130,28000,-48.3579
135,30000,-46.031
147,32000,-14.3925
152,34000,12.4793
156,36000,7.8194
160,38000,4.3095
167,40000,-7.1171
170,42000,127.9469
174,44000,136.2126
181,46000,49.4431
184,48000,77.0692
195,50000,76.4589
199,52000,126.8901
205,54000,164.4546
207,56000,327.6241
210,58000,239.6624
222,60000,72.2749
224,62000,284.7124
227,64000,425.8241
230,66000,318.2565
235,68000,124.2092
239,70000,282.3531
241,72000,555.5609
243,74000,603.1011
247,76000,386.9617
249,78000,612.5151
251,80000,396.555
253,82000,678.0083
255,84000,622.7431
257,86000,694.6004
259,88000,651.7735
262,90000,425.5401
264,92000,727.0974
266,94000,763.0873
268,96000,742.6892
270,98000,709.953
273,100000,465.144
275,102000,719.3982
277,104000,816.0998
279,106000,818.0731
281,108000,823.9253
283,110000,805.4667
285,112000,815.7242
287,114000,747.9277
289,116000,865.2185
291,118000,681.0459
293,120000,862.1056
295,122000,867.0919
297,124000,835.5874
299,126000,879.84
301,128000,811.2314
303,130000,794.2684
305,132000,830.7225
308,134000,710.5707
310,136000,845.1708
312,138000,839.7668
314,140000,838.2418
316,142000,789.3304
318,144000,760.1933
320,146000,719.6135
322,148000,867.2686
324,150000,823.3821
326,152000,711.5299
328,154000,783.7145
330,156000,799.9548
333,158000,571.2463
335,160000,818.3844
337,162000,780.4037
339,164000,828.7826
341,166000,845.0244
343,168000,798.0679
345,170000,827.8425
347,172000,825.0871
349,174000,806.3128
351,176000,807.5963
353,178000,843.1002
355,180000,846.6703
357,182000,720.3107
359,184000,775.811
361,186000,799.693
363,188000,757.9062
365,190000,857.7897
367,192000,782.7935
369,194000,613.4352
371,196000,793.9636
373,198000,867.2774
375,200000,807.3492
