episode,timestep,reward
12,2000,-100.7503
25,4000,-59.42
39,6000,-80.1658
43,8000,-309.185
56,10000,-84.9846
60,12000,-256.0885
70,14000,-111.3318
78,16000,-147.3382
89,18000,-72.6452
97,20000,-148.3992
110,22000,-135.7729
121,24000,-113.077
139,26000,-65.0163
144,28000,-287.2792
152,30000,-146.4428
166,32000,-92.6784
190,34000,-41.6175
204,36000,-94.6725
211,38000,-154.1773
224,40000,-95.9307
238,42000,-51.4789
240,44000,-650.4791
244,46000,-327.9284
256,48000,-140.8211
263,50000,-112.5837
284,52000,-85.3661
290,54000,-166.9081
295,56000,-314.6165
302,58000,-146.2798
316,60000,-119.5808
330,62000,-86.2416
342,64000,-107.9172
354,66000,-95.0708
360,68000,-228.5039
375,70000,-85.0653
399,72000,-48.1388
407,74000,-141.3468
416,76000,-202.8826
429,78000,-116.4875
444,80000,-71.4291
452,82000,-129.707
458,84000,-260.4324
465,86000,-267.5637
474,88000,-128.6919
484,90000,-173.672
494,92000,-111.644
501,94000,-259.1055
533,96000,-36.7021
550,98000,-110.7092
552,100000,-345.1539
575,102000,-75.382
595,104000,-92.4294
610,106000,-95.2857
615,108000,-194.6378
631,110000,-113.5122
637,112000,-199.4829
642,114000,-299.9655
654,116000,-155.8606
674,118000,-76.8672
688,120000,-77.3575
700,122000,-184.2128
705,124000,-314.7914
721,126000,-93.1247
729,128000,-148.0716
751,130000,-73.4204
774,132000,-98.5075
787,134000,-116.4838
793,136000,-327.0109
808,138000,-113.9655
826,140000,-59.166
838,142000,-186.2657
865,144000,-49.3344
883,146000,-114.2376
904,148000,-83.536
915,150000,-130.1753
928,152000,-159.8561
937,154000,-158.3429
949,156000,-107.8854
967,158000,-142.429
971,160000,-370.8363
988,162000,-115.504
1005,164000,-84.7214
1040,166000,-68.1573
1058,168000,-97.7077
1075,170000,-98.6675
1084,172000,-163.0692
1090,174000,-327.2892
1102,176000,-128.0632
1126,178000,-104.6732
1132,180000,-173.5096
1147,182000,-193.8193
1176,184000,-62.1332
1202,186000,-72.9638
1219,188000,-103.2385
1242,190000,-90.801
1248,192000,-320.7178
1268,194000,-98.0699
1284,196000,-104.2167
1295,198000,-145.4768
1307,200000,-194.2409
1327,202000,-97.9086
1345,204000,-107.1433
1351,206000,-190.7222
1387,208000,-77.4491
1391,210000,-524.2873
